id,category,subtype,difficulty,question_type,denktyp,level,question,a,b,c,d,correct,explanation,weight
1,Allgemeinwissen,Zahlenlogik,1,mc,analytisch_logisch,1,"Welche Zahl setzt die Reihe sinnvoll fort: 2, 4, 8, 16, ?","18","24","32","34",3,"Die Zahlen verdoppeln sich jeweils. Auf 16 folgt 32.",1.0
2,Allgemeinwissen,Mengenvergleich,1,mc,analytisch_logisch,1,"Was ist schwerer: 1 kg Federn oder 1 kg Stahl?","Federn","Stahl","Beides gleich schwer","Das hängt von der Temperatur ab",3,"Beide Mengen wiegen jeweils 1 Kilogramm und sind daher gleich schwer.",1.0
3,Technik,Zahlenlogik,2,mc,analytisch_logisch,2,"Welche Zahl setzt die Reihe sinnvoll fort: 3, 6, 12, 24, ?","36","42","48","54",3,"Die Zahlen verdoppeln sich jeweils. Auf 24 folgt 48.",1.2
4,Wissenschaft,Schlussfolgerung,2,mc,analytisch_logisch,2,"Alle Solarzellen sind Energiewandler. Einige Energiewandler speichern keinen Strom. Welche Aussage folgt sicher?","Alle Solarzellen speichern Strom","Einige Solarzellen speichern keinen Strom","Solarzellen sind Energiewandler","Kein Energiewandler speichert Strom",3,"Aus der ersten Aussage folgt sicher nur, dass Solarzellen Energiewandler sind.",1.2
5,Geografie,Ordnen,2,mc,analytisch_logisch,2,"Welches Land hat die längste Küstenlinie?","Deutschland","Schweiz","Österreich","Tschechien",1,"Von den genannten Ländern besitzt nur Deutschland eine Meeresküste.",1.1
6,Biologie,Systematik,3,mc,analytisch_logisch,3,"Welcher Begriff passt am besten nicht in die Reihe?","Herz","Lunge","Leber","Neuron",4,"Herz, Lunge und Leber sind Organe. Ein Neuron ist eine einzelne Nervenzelle.",1.4
7,Kreativität,Assoziation,1,mc,kreativ_assoziativ,1,"Welcher Begriff verbindet 'Schlüssel' und 'Wolke' heute am ehesten in einem modernen Kontext?","Farbe","Speicherung","Metall","Geschwindigkeit",2,"Schlüssel können digitale Zugänge öffnen und Daten liegen häufig in der Cloud-Speicherung.",1.0
8,Bildung,Problemlösung,1,mc,kreativ_assoziativ,1,"Eine Klasse wirkt am Montagmorgen unkonzentriert. Welche Maßnahme ist ungewöhnlich, aber oft sinnvoll?","Mehr Hausaufgaben geben","Alle Arbeitsblätter verdoppeln","Mit einer kurzen Aktivierungsübung starten","Eine Klassenarbeit schreiben",3,"Eine kurze Aktivierung kann Aufmerksamkeit und Lernbereitschaft wirksam erhöhen.",1.0
9,Technik,Innovation,2,mc,kreativ_assoziativ,2,"Eine Stadt hat regelmäßig Stau im Berufsverkehr. Welche Lösung ist am ehesten kreativ und wirksam?","Mehr Ampeln einbauen","Flexible Arbeitszeiten fördern","Alle Straßen schmaler machen","Parkplätze im Zentrum streichen, ohne Alternativen zu schaffen",2,"Zeitliche Entzerrung reduziert Spitzenlasten oft wirksamer als rein technische Einzelmaßnahmen.",1.2
10,Medizin,Umdenken,2,mc,kreativ_assoziativ,2,"In einer Praxis erscheinen viele Patienten zu spät. Welche Lösung ist am ehesten kreativ UND patientenfreundlich?","Nur noch Strafgebühren verlangen","Termine ohne Erinnerung vergeben","Automatische Erinnerungen mit einfacher Rückmeldefunktion senden","Wartezimmer schließen",3,"Erinnerungen mit Rückmeldung senken Ausfälle und bleiben serviceorientiert.",1.2
11,Spiritualität,Perspektivwechsel,3,mc,kreativ_assoziativ,3,"Welche Aussage beschreibt einen kreativen Perspektivwechsel am besten?","Ich bleibe immer bei meiner ersten Meinung","Ich prüfe bewusst auch eine ungewohnte Sichtweise","Nur Experten dürfen neue Ideen haben","Gefühle stören jede Erkenntnis",2,"Kreativität entsteht oft dort, wo bewusst neue Sichtweisen zugelassen werden.",1.4
12,Allgemeinwissen,Alltagsinnovation,3,mc,kreativ_assoziativ,3,"Ein kleiner Laden verliert Laufkundschaft. Welche Idee ist am ehesten kreativ und realistisch?","Früher schließen","Fenster abkleben","Lokale Themenabende mit Partnern aus der Nachbarschaft veranstalten","Weniger Auswahl anbieten und nicht kommunizieren",3,"Kooperationen und Erlebnisse schaffen neue Anlässe für Besuche.",1.4
13,Wirtschaft,Ursache_Wirkung,1,mc,systemisch_vernetzt,1,"Wenn der Preis für Benzin längere Zeit steigt, was ist eine wahrscheinliche Folge?","Mehr Menschen tanken aus Spaß häufiger","Der Verbrauch bleibt immer exakt gleich","Mehr Menschen suchen nach Alternativen","Autos können nicht mehr fahren",3,"Steigende Preise führen häufig dazu, dass Alternativen attraktiver werden.",1.0
14,Bildung,Systemwirkung,1,mc,systemisch_vernetzt,1,"Ein Team arbeitet schneller, macht aber deutlich mehr Fehler. Was ist langfristig wahrscheinlich?","Die Gesamtleistung steigt sicher","Die Korrekturarbeit steigt und bremst das Team","Fehler spielen auf Dauer keine Rolle","Das Team braucht keine Abstimmung mehr",2,"Mehr Fehler erzeugen Nacharbeit und belasten die Gesamtleistung.",1.0
15,Biologie,Oekosystem,2,mc,systemisch_vernetzt,2,"Was passiert wahrscheinlich in einem Ökosystem, wenn eine wichtige Pflanzenart verschwindet?","Nur die Farbe der Landschaft ändert sich","Mehrere abhängige Arten geraten unter Druck","Tiere benötigen dann kein Wasser mehr","Das Klima der Erde stoppt sofort",2,"Arten in Ökosystemen sind miteinander vernetzt; fällt eine Schlüsselressource weg, wirkt sich das weiter aus.",1.2
16,Technik,Netzwerke,2,mc,systemisch_vernetzt,2,"Ein Server ist sehr schnell, aber die Internetleitung ist langsam. Was begrenzt die Nutzererfahrung am ehesten?","Die Gehäusefarbe des Servers","Die langsame Verbindung","Die Tastatur des Administrators","Der Name der Website",2,"Das Gesamtsystem wird hier vor allem durch die langsame Netzverbindung begrenzt.",1.2
17,Geografie,Klima,3,mc,systemisch_vernetzt,3,"Wenn in einer Region viele Wälder gerodet werden, welche Folge ist am ehesten systemisch zu erwarten?","Nur die Zahl der Wanderwege sinkt","Wasserhaushalt, Artenvielfalt und lokales Klima verändern sich","Die Erdrotation wird langsamer","Es gibt automatisch mehr Gebirge",2,"Wälder beeinflussen Wasserkreisläufe, Lebensräume und das lokale Klima.",1.4
18,Medizin,Versorgungssystem,3,mc,systemisch_vernetzt,3,"Wenn eine Notaufnahme dauerhaft überlastet ist, welche Maßnahme wirkt am ehesten systemisch?","Mehr Schilder aufhängen","Patienteninformation, Terminsteuerung und Zusammenarbeit mit Hausärzten verbessern","Alle Sitzplätze entfernen","Nur nachts öffnen",2,"Systemische Entlastung entsteht meist durch bessere Steuerung und Vernetzung im Versorgungssystem.",1.4
19,Allgemeinwissen,Soziale_Wahrnehmung,1,mc,intuitiv_empathisch,1,"Ein Kunde antwortet plötzlich sehr kurz und knapp. Was ist eine wahrscheinliche erste Deutung?","Er hat sicher seinen Namen vergessen","Er ist möglicherweise gestresst oder genervt","Er kann nicht lesen","Er ist immer unhöflich",2,"Kurze Antworten können auf Stress, Zeitdruck oder Unzufriedenheit hindeuten.",1.0
20,Bildung,Zwischentöne,1,mc,intuitiv_empathisch,1,"Du betrittst einen Raum und mehrere Menschen verstummen. Was ist die sinnvollste erste Haltung?","Sofort laut kritisieren","Neugierig beobachten und nicht vorschnell urteilen","Den Raum direkt verlassen","Alles ignorieren und schreien",2,"Intuitive soziale Wahrnehmung ist hilfreich, sollte aber nicht mit vorschnellen Urteilen verwechselt werden.",1.0
21,Medizin,Empathie,2,mc,intuitiv_empathisch,2,"Ein Patient sagt 'Alles gut', wirkt aber angespannt. Was ist am ehesten angemessen?","Nicht weiter beachten","Nachfragen und Raum für ehrliche Rückmeldung geben","Sofort die Behandlung abbrechen","Dem Patienten widersprechen",2,"Empathische Kommunikation verbindet Wahrnehmung mit behutsamer Nachfrage.",1.2
22,Spiritualität,Innere_Wahrnehmung,2,mc,intuitiv_empathisch,2,"Welche Aussage beschreibt gesunde Intuition am besten?","Sie ersetzt jedes Nachdenken","Sie ist ein innerer Hinweis, der mit Realität geprüft werden sollte","Sie ist immer übernatürlich","Sie ist bedeutungslos",2,"Intuition kann wertvoll sein, gewinnt aber an Qualität durch bewusste Prüfung.",1.2
23,Geschichte,Menschenbild,3,mc,intuitiv_empathisch,3,"Warum reagieren Gesellschaften auf Krisen oft sehr unterschiedlich?","Weil alle Menschen identisch fühlen","Weil Geschichte, Erfahrung und Vertrauen das Verhalten mitprägen","Weil Emotionen keine Rolle spielen","Weil nur das Wetter entscheidet",2,"Kollektives Verhalten entsteht aus Erfahrungen, Deutungen, Vertrauen und sozialen Dynamiken.",1.4
24,Allgemeinwissen,Konfliktdynamik,3,mc,intuitiv_empathisch,3,"Zwei Kollegen streiten über eine Kleinigkeit. Was ist häufig die tiefere Ursache?","Nur die Uhrzeit","Oft ein ungelöstes Thema im Hintergrund","Zu viel Sauerstoff im Raum","Der Wochentag allein",2,"Konflikte entzünden sich oft an kleinen Auslösern, haben aber tiefere Ursachen.",1.4
25,Spiritualität,Selbstbeobachtung,1,mc,reflektiv_bewusst,1,"Welche Haltung unterstützt Selbsterkenntnis am besten?","Nur auf andere zeigen","Eigene Gedanken und Reaktionen ehrlich beobachten","Gefühle grundsätzlich verdrängen","Jede Rückmeldung ablehnen",2,"Selbstbeobachtung ist ein Kern reflektiver Entwicklung.",1.0
26,Bildung,Lernen_lernen,1,mc,reflektiv_bewusst,1,"Wann verbessert sich Lernen meist am stärksten?","Wenn Fehler verborgen werden","Wenn Rückmeldung reflektiert und genutzt wird","Wenn man nie Pausen macht","Wenn nur auswendig gelernt wird",2,"Reflexion über Rückmeldungen unterstützt nachhaltiges Lernen.",1.0
27,Wissenschaft,Erkenntnistheorie,2,mc,reflektiv_bewusst,2,"Welche Aussage zeigt wissenschaftlich-reflektiertes Denken?","Ich glaube es, also ist es wahr","Ich prüfe meine Annahmen an Daten und Gegenargumenten","Nur meine erste Idee zählt","Unsicherheit ist immer ein Zeichen von Schwäche",2,"Reflexives Denken prüft eigene Annahmen bewusst an Beobachtungen und Gegenpositionen.",1.2
28,Spiritualität,Sinnorientierung,2,mc,reflektiv_bewusst,2,"Welche Frage ist am ehesten reflektiv-bewusst?","Wie wirke ich perfekt?","Was ist mir wirklich wichtig und warum?","Wie vermeide ich jedes Nachdenken?","Wie kann ich alle kontrollieren?",2,"Sinnorientierte Reflexion fragt nach Werten, Motiven und innerer Ausrichtung.",1.2
29,Geschichte,Fehlerkultur,3,mc,reflektiv_bewusst,3,"Warum ist die Aufarbeitung historischer Fehler wichtig?","Damit sie vergessen werden","Damit Gesellschaften daraus lernen können","Damit jede Debatte endet","Damit niemand mehr Fragen stellt",2,"Reflexion über Fehler schafft Orientierung für bessere Entscheidungen in der Zukunft.",1.4
30,Technik,Digitale_Selbststeuerung,3,mc,reflektiv_bewusst,3,"Welche digitale Gewohnheit stärkt bewusste Selbststeuerung am ehesten?","Benachrichtigungen immer eingeschaltet lassen","Regelmäßige fokussierte Offline-Zeiten einplanen","Jede Nacht bis spät scrollen","Passwörter mit anderen teilen",2,"Bewusste Pausen stärken Aufmerksamkeit, Selbstführung und mentale Klarheit.",1.4
